{'yaw': -5.758181, 'pitch': 2.424549, 'roll': -2.176314, 'Ax': 803, 'Ay': -628, 'Az': 6543, 'timestamps': 1542884652.5992973}
{'yaw': -5.675264, 'pitch': 2.052422, 'roll': -1.671675, 'Ax': 836, 'Ay': -942, 'Az': 6624, 'timestamps': 1542884652.612465}
{'yaw': -5.67062, 'pitch': 1.265353, 'roll': -1.029324, 'Ax': 953, 'Ay': -1324, 'Az': 6657, 'timestamps': 1542884652.6191542}
{'yaw': -5.771429, 'pitch': 0.135414, 'roll': -0.230912, 'Ax': 1025, 'Ay': -1697, 'Az': 6524, 'timestamps': 1542884652.6238248}
{'yaw': -5.969586, 'pitch': -1.175858, 'roll': 0.684796, 'Ax': 1139, 'Ay': -1928, 'Az': 5967, 'timestamps': 1542884652.6345854}
{'yaw': -6.224098, 'pitch': -2.597626, 'roll': 1.684328, 'Ax': 1209, 'Ay': -2150, 'Az': 5340, 'timestamps': 1542884652.6379733}
{'yaw': -6.475349, 'pitch': -3.789668, 'roll': 2.694648, 'Ax': 1344, 'Ay': -2209, 'Az': 4437, 'timestamps': 1542884652.6462302}
{'yaw': -6.680993, 'pitch': -4.523231, 'roll': 3.571067, 'Ax': 1293, 'Ay': -2053, 'Az': 3341, 'timestamps': 1542884652.656641}
{'yaw': -6.792572, 'pitch': -4.499378, 'roll': 4.228902, 'Ax': 1099, 'Ay': -1814, 'Az': 2324, 'timestamps': 1542884652.666447}
{'yaw': -6.824229, 'pitch': -3.751698, 'roll': 4.630979, 'Ax': 811, 'Ay': -1512, 'Az': 1433, 'timestamps': 1542884652.6777263}
{'yaw': -6.806221, 'pitch': -2.594814, 'roll': 4.793755, 'Ax': 428, 'Ay': -1283, 'Az': 788, 'timestamps': 1542884652.6856072}
{'yaw': -6.76522, 'pitch': -1.197988, 'roll': 4.796134, 'Ax': 224, 'Ay': -1212, 'Az': 544, 'timestamps': 1542884652.6980414}
{'yaw': -6.761874, 'pitch': -0.037118, 'roll': 4.809966, 'Ax': 123, 'Ay': -1402, 'Az': 653, 'timestamps': 1542884652.7067506}
{'yaw': -6.903729, 'pitch': 0.395268, 'roll': 5.043549, 'Ax': 89, 'Ay': -1745, 'Az': 978, 'timestamps': 1542884652.72051}
{'yaw': -7.134657, 'pitch': 0.159454, 'roll': 5.577316, 'Ax': 311, 'Ay': -2139, 'Az': 1415, 'timestamps': 1542884652.7254713}
{'yaw': -7.321885, 'pitch': -0.257951, 'roll': 6.32035, 'Ax': 929, 'Ay': -2246, 'Az': 1281, 'timestamps': 1542884652.7364962}
{'yaw': -7.49788, 'pitch': -0.867143, 'roll': 7.177516, 'Ax': 1336, 'Ay': -2168, 'Az': 791, 'timestamps': 1542884652.7453597}
{'yaw': -7.648648, 'pitch': -1.483319, 'roll': 8.095211, 'Ax': 1600, 'Ay': -2047, 'Az': 288, 'timestamps': 1542884652.7589214}
{'yaw': -7.726495, 'pitch': -1.901535, 'roll': 8.972057, 'Ax': 1849, 'Ay': -1854, 'Az': -294, 'timestamps': 1542884652.7654445}
{'yaw': -7.728651, 'pitch': -1.988893, 'roll': 9.767807, 'Ax': 1890, 'Ay': -1604, 'Az': -893, 'timestamps': 1542884652.7877827}
{'yaw': -7.663714, 'pitch': -1.662379, 'roll': 10.41815, 'Ax': 1723, 'Ay': -1309, 'Az': -1455, 'timestamps': 1542884652.7931}
{'yaw': -7.567583, 'pitch': -1.143647, 'roll': 10.91299, 'Ax': 1531, 'Ay': -1081, 'Az': -1885, 'timestamps': 1542884652.79898}
