{'yaw': 151.976, 'pitch': -14.12896, 'roll': 13.51397, 'Ax': -2950, 'Ay': -5, 'Az': -3486, 'timestamps': 1542885178.6990678}
{'yaw': 152.4608, 'pitch': -15.37586, 'roll': 14.02689, 'Ax': -2387, 'Ay': -1, 'Az': -3979, 'timestamps': 1542885178.7583356}
{'yaw': 152.9387, 'pitch': -16.49419, 'roll': 14.42899, 'Ax': -1689, 'Ay': -11, 'Az': -4376, 'timestamps': 1542885178.7645693}
{'yaw': 153.3259, 'pitch': -17.40391, 'roll': 14.7183, 'Ax': -1018, 'Ay': 166, 'Az': -4830, 'timestamps': 1542885178.7646646}
{'yaw': 153.6086, 'pitch': -18.04189, 'roll': 14.92362, 'Ax': -394, 'Ay': 553, 'Az': -5368, 'timestamps': 1542885178.7647307}
{'yaw': 153.8333, 'pitch': -18.42369, 'roll': 15.08228, 'Ax': 88, 'Ay': 990, 'Az': -5975, 'timestamps': 1542885178.8620856}
{'yaw': 153.9875, 'pitch': -18.72927, 'roll': 15.25243, 'Ax': 81, 'Ay': 1021, 'Az': -6586, 'timestamps': 1542885178.873721}
{'yaw': 154.1338, 'pitch': -19.12869, 'roll': 15.43143, 'Ax': -135, 'Ay': 931, 'Az': -7110, 'timestamps': 1542885178.8738134}
{'yaw': 154.3177, 'pitch': -19.62547, 'roll': 15.61829, 'Ax': -89, 'Ay': 988, 'Az': -7503, 'timestamps': 1542885178.8738751}
{'yaw': 154.5524, 'pitch': -20.11192, 'roll': 15.80781, 'Ax': 368, 'Ay': 1315, 'Az': -7830, 'timestamps': 1542885178.8739333}
{'yaw': 154.8328, 'pitch': -20.46465, 'roll': 16.01665, 'Ax': 959, 'Ay': 1663, 'Az': -8053, 'timestamps': 1542885178.8739974}
{'yaw': 155.1472, 'pitch': -20.64588, 'roll': 16.24247, 'Ax': 1442, 'Ay': 1854, 'Az': -8163, 'timestamps': 1542885178.874055}
